Truck, Organization, Temperature (ºC), # People, Latitude, Longitude
2, 1, 33.213897, 57, 40.375750, -3.669890
2, 1, 5.440275, 49, 40.376300, -3.669890
2, 2, 35.114458, 50, 40.465400, -3.691610
1, 2, 31.236550, 37, 40.482640, -3.722520
0, 2, 9.953505, 19, 40.465520, -3.689110
1, 1, 34.443660, 58, 40.403900, -3.664240
2, 1, 43.961496, 50, 40.376790, -3.670400
2, 0, 34.076012, 54, 40.475800, -3.744620
1, 0, 37.777460, 42, 40.467970, -3.794660
0, 0, 40.987471, 17, 40.451390, -3.768330
2, 1, 36.493891, 49, 40.376950, -3.671400
2, 1, 24.571940, 41, 40.377150, -3.672430
2, 1, 27.863555, 57, 40.377720, -3.672990
1, 2, 33.700322, 21, 40.482700, -3.715960
2, 1, 14.729701, 59, 40.378390, -3.673650
1, 1, 44.423737, 16, 40.398750, -3.669140
2, 0, 22.728433, 25, 40.476190, -3.751350
1, 0, 41.587107, 8, 40.466490, -3.788520
0, 0, 41.388326, 17, 40.452940, -3.767400
2, 1, 19.407681, 30, 40.378560, -3.674410
2, 1, 28.652486, 27, 40.378830, -3.675140
2, 1, 5.397919, 12, 40.380320, -3.675110
2, 1, 15.078439, 26, 40.381120, -3.673880
1, 2, 23.321916, 42, 40.485050, -3.708590
1, 1, 30.778271, 26, 40.393640, -3.677930
2, 0, 25.638841, 33, 40.468910, -3.750500
1, 0, 38.416369, 16, 40.463310, -3.784140
0, 0, 16.326992, 32, 40.449660, -3.762910
2, 1, 43.360667, 58, 40.383000, -3.671530
2, 1, 22.287142, 31, 40.384880, -3.670550
2, 1, 43.037497, 10, 40.385330, -3.670810
2, 1, 33.619614, 47, 40.386290, -3.671140
1, 2, 17.772360, 17, 40.480350, -3.704650
2, 0, 35.824454, 34, 40.459210, -3.745320
2, 1, 42.073002, 37, 40.387650, -3.671610
1, 0, 8.330676, 24, 40.462990, -3.779290
0, 0, 33.557961, 58, 40.442520, -3.748130
2, 1, 9.783749, 11, 40.388250, -3.671730
2, 1, 20.626210, 36, 40.388880, -3.671930
2, 1, 39.702757, 27, 40.390470, -3.672450
1, 2, 11.965307, 21, 40.477580, -3.712430
2, 1, 27.682314, 49, 40.391010, -3.673100
2, 0, 39.550102, 40, 40.450370, -3.742500
1, 0, 27.073038, 42, 40.459520, -3.751040
0, 0, 41.093874, 50, 40.434750, -3.738880
2, 1, 8.982148, 58, 40.391430, -3.674600
2, 1, 10.585561, 11, 40.392530, -3.676720
1, 2, 22.410069, 58, 40.470570, -3.711660
2, 0, 42.792360, 37, 40.448820, -3.736590
1, 0, 33.078166, 23, 40.449040, -3.736920
0, 0, 5.050289, 30, 40.436020, -3.726710
1, 2, 39.039137, 15, 40.468100, -3.708080
2, 0, 6.783258, 18, 40.437590, -3.723640
1, 0, 11.245866, 14, 40.437950, -3.724160
1, 2, 18.940612, 20, 40.464900, -3.696420
